variable,variable_num
location_interview_border_fish,1
location_interview_rc_Sahila,2
gender_ki_male,3
gender_ki_female,4
residency_yes,5
residency_no,6
residency_dont_know,7
residency_refuse,8
arrive_syria_yes,9
arrive_syria_no,10
reason_displace_planned_travel_to_kri,11
reason_displace_planned_travel_return,12
reason_displace_arrival_military,13
reason_displace_airstrikes,15
reason_displace_home_destroyed,16
reason_displace_escorted_security,18
reason_displace_dont_know,20
date_left_today,21
date_left_yesterday,22
date_left_two_days,23
date_left_three_days,24
date_left_more_than_three,25
date_left_more_week,26
male017avg,27
male1860avg,28
male60avg,28
female017avg,29
female1860avg,30
female60avg,30
unaccompanied_yes,31
unaccompanied_no,32
unaccompanied_dont_know,33
unaccompanied_refuse,34
unaccompanied_avg,35
disabled_yes,36
disabled_no,37
disabled_dont_know,38
disabled_refuse,39
disabled_avg,40
preg_lacting_yes,41
preg_lacting_no,42
preg_lacting_dont_know,43
preg_lacting_refuse,44
pregnant_avg,45
memb_left_yes,46
memb_left_no,47
memb_left_dont_know,48
memb_left_refuse,49
origin_from_location_yes,53
origin_from_location_no,54
origin_from_location_dont_know,55
origin_from_location_refuse,56
wait_border_less_2_hours,57
wait_border_2_4_hours,58
wait_border_4_8_hours,59
wait_border_8_24_hours,60
wait_border_two_days,61
wait_border_three_days,62
wait_reception_less_2_hours,63
wait_reception_2_4_hours,64
wait_reception_4_8_hours,65
wait_reception_8_24_hours,66
wait_reception_two_days,67
wait_reception_three_days,68
duration_rc_less_2_hours,69
duration_rc_2_4_hours,70
duration_rc_4_8_hours,71
duration_rc_8_24_hours,72
duration_rc_two_days,73
duration_rc_three_days,74
decision_timing_6_less,75
decision_timing_1_12,76
decision_timing_13_18,77
decision_timing_19_24,78
decision_timing_one_two_days,80
decision_timing_more_two_days,81
direction_choice_closest,82
direction_choice_preferred_dest,83
direction_choice_safest_routes,84
direction_choice_direction_af,85
direction_choice_direction_suggested_friends,86
direction_choice_opened_safe_routes,87
direction_choice_direction_family,88
direction_choice_other,89
transport_Foot,90
transport_Car,91
transport_Minibus,92
transport_Bus,93
transport_Taxi,94
transport_Motorbike,95
transport_other,96
difficulties.no_water,97
